IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0112093,Ned and Stacey,1995–2017,N/A,11 Sep 1995,30 min,Comedy,N/A,Michael J. Weithorn,"Thomas Haden Church, Debra Messing, Greg Germann",English,United States,7.1,None,None,series
tt0112095,NewsRadio,1995–1999,TV-PG,21 Mar 1995,23 min,"Comedy, Romance",N/A,Paul Simms,"Dave Foley, Stephen Root, Andy Dick",English,United States,7.9,None,None,series
tt0318236,Odyssey 5,2002–2004,N/A,21 Jun 2002,60 min,"Action, Adventure, Drama",N/A,Manny Coto,"Peter Weller, Sebastian Roché, Christopher Gorham",English,Canada,7.5,None,None,series
tt1843894,On Death Row,2012–,N/A,09 Mar 2012,49 min,Documentary,N/A,N/A,"Werner Herzog, James Barnes, Linda Carty",English,"United States, United Kingdom, Austria",8.0,None,None,series
tt8870164,On Point,2018–,N/A,28 Apr 2018,N/A,Talk-Show,N/A,N/A,Scratch Point,English,United States,N/A,None,None,series
tt3696748,Origins,2015–,N/A,N/A,22 min,"Documentary, History",N/A,N/A,Lauren Steyn,English,United States,6.4,None,None,series
tt6847466,Painting Autumn,2017–,N/A,N/A,N/A,Comedy,N/A,N/A,"Kelly V. Dolan, Jimmy Dundon, Devin Fox, Madison Ortiz",English,United States,8.0,None,None,series
tt1826805,Pan Am,2011–2012,TV-PG,25 Sep 2011,42 min,"Drama, History, Romance",N/A,"Nancy Hult Ganis, Jack Orman","Christina Ricci, Margot Robbie, Michael Mosley",English,United States,7.0,None,None,series
tt0071030,Partridge Family 2200 AD,1974–1975,N/A,07 Sep 1974,30 min,"Animation, Sci-Fi, Family",N/A,N/A,"Danny Bonaduce, Susan Dey, Brian Forster",English,United States,5.9,None,None,series
tt0106097,Peak Practice,1993–2002,N/A,10 May 1993,50 min,Drama,N/A,N/A,"Gary Mavers, Simon Shepherd, Esther Coles",English,United Kingdom,6.4,None,None,series
tt0387764,Peep Show,2003–2015,TV-MA,12 Nov 2004,25 min,Comedy,N/A,"Jesse Armstrong, Sam Bain, Andrew O'Connor","David Mitchell, Robert Webb, Matt King",English,United Kingdom,8.6,None,None,series
tt14016778,Playing with Power: The Nintendo Story,2021,N/A,01 Mar 2021,N/A,Documentary,N/A,N/A,"Sean Astin, Wil Wheaton, Alison Haislip",English,United States,7.6,None,None,series
tt2731624,Plebs,2013–,TV-14,25 Mar 2013,25 min,Comedy,N/A,N/A,"Tom Rosenthal, Ryan Sampson, Tom Basden",English,United Kingdom,7.9,None,None,series
tt0937967,Project Dad,2007–,N/A,08 Jan 2007,23 min,"Music, Reality-TV",N/A,N/A,"Beverley Mahood, Billy Ray Cyrus, Miley Cyrus",English,Canada,N/A,None,None,series
tt4667610,Promiseland,2019,N/A,05 Dec 2019,82 min,"Action, Drama, Thriller",Kirk Caouette,Kirk Caouette,"Andrea Stefancikova, Kirk Caouette, Michael Kopsa",English,Canada,N/A,None,None,movie
tt0816399,Psychic Investigators,2006–,Not Rated,10 Mar 2006,30 min,"Crime, Drama, Mystery",N/A,N/A,"Tarioa Van Weesenbeek, Phil Jordan, Frank Longo",English,Canada,7.5,None,None,series
tt3222712,Raw Travel,2013–,N/A,30 Sep 2013,21 min,Reality-TV,N/A,N/A,"David Krueger, Robert G. Rose",English,United States,7.2,None,None,series
tt0108903,ReBoot,1994–2001,TV-Y7,10 Sep 1994,30 min,"Animation, Action, Adventure",N/A,"Gavin Blair, John Grace, Philip Mitchell","Michael Donovan, Kathleen Barr, Garry Chalk",English,Canada,7.8,None,None,series
tt13223854,Riding Phat,2021–,N/A,26 Feb 2021,N/A,Documentary,N/A,N/A,"Jeff Dye, Michael Waltrip, Dominique Wilkins, Tedy Bruschi",English,United States,N/A,None,None,series
tt7156624,Road to Race Day,2017–,N/A,N/A,N/A,Reality-TV,N/A,N/A,N/A,English,United States,8.4,None,None,series
tt8050858,Rob Riggle's Ski Master Academy,2018–,N/A,23 Aug 2018,N/A,Comedy,N/A,N/A,"Dave Allen, Britt Baron, Eliza Coupe",English,United States,5.8,None,None,series
tt4960458,Rovers,2016–,N/A,24 May 2016,N/A,"Comedy, Sport",N/A,N/A,"Craig Cash, Sue Johnston, Steve Speirs",English,United Kingdom,6.4,None,None,series
tt0257076,S.W.A.T.,2003,PG-13,08 Aug 2003,117 min,"Action, Adventure, Crime",Clark Johnson,"Robert Hamner, Ron Mita, Jim McClain","Samuel L. Jackson, Colin Farrell, Michelle Rodriguez","English, Spanish, French",United States,6.0,48%,45/100,movie
tt0206951,Sally Hemings: An American Scandal,2000,Unrated,13 Feb 2000,251 min,"Biography, Drama, History, Romance",Charles Haid,Tina Andrews,"Sam Neill, Carmen Ejogo, Diahann Carroll, Mare Winningham","English, French",United States,7.2,None,None,movie
tt2223298,Salvage Hunters,2011–,N/A,14 Nov 2011,N/A,Reality-TV,N/A,N/A,"Drew Pritchard, Ralph Ineson, Rebecca Pritchard",English,N/A,7.9,None,None,series
