IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type,Duplicate,Duplicate1
tt0472954,It's Always Sunny in Philadelphia,2005–,TV-MA,04 Aug 2005,22 min,Comedy,N/A,"Glenn Howerton, Rob McElhenney","Charlie Day, Glenn Howerton, Rob McElhenney",English,United States,8.8,,,series,False,False
tt0904208,Californication,2007–2014,TV-MA,13 Aug 2007,28 min,"Comedy, Drama",N/A,Tom Kapinos,"David Duchovny, Natascha McElhone, Evan Handler",English,United States,8.3,,,series,False,False
tt1780441,Portlandia,2011–2018,TV-14,11 Jan 2011,22 min,Comedy,N/A,"Fred Armisen, Carrie Brownstein, Jonathan Krisel","Fred Armisen, Carrie Brownstein, Kyle MacLachlan",English,United States,7.8,,,series,False,False
tt1819509,Don't Trust the B---- in Apartment 23,2012–2013,TV-14,11 Apr 2012,22 min,Comedy,N/A,Nahnatchka Khan,"Krysten Ritter, Dreama Walker, Michael Blaiklock",English,United States,7.3,,,series,False,False
tt1632708,Friends with Benefits,2011,R,22 Jul 2011,109 min,"Comedy, Romance",Will Gluck,"Keith Merryman, David A. Newman, Will Gluck","Mila Kunis, Justin Timberlake, Patricia Clarkson",English,United States,6.5,68%,63/100,movie,False,False
tt2022170,The Client List,2011–2013,TV-14,08 Apr 2012,42 min,"Crime, Drama",N/A,"Jordan Budde, Suzanne Martin","Jennifer Love Hewitt, Loretta Devine, Colin Egglesfield",English,United States,6.6,,,series,False,False
tt2543312,Halt and Catch Fire,2014–2017,TV-14,01 Jun 2014,60 min,Drama,N/A,"Christopher Cantwell, Christopher C. Rogers","Lee Pace, Scoot McNairy, Mackenzie Davis",English,United States,8.4,,,series,False,False
tt2486678,5 to 7,2014,R,12 Feb 2015,95 min,"Comedy, Drama, Romance",Victor Levin,Victor Levin,"Anton Yelchin, Bérénice Marlohe, Olivia Thirlby","English, French",United States,7.1,70%,52/100,movie,False,False
tt4295140,Chef's Table,2015–2019,TV-MA,26 Apr 2015,50 min,Documentary,N/A,N/A,"Dan Barber, Massimo Bottura, Bill Buford",English,United States,8.5,,,series,False,False
tt4677934,Documentary Now!,2015–,TV-14,20 Aug 2015,23 min,Comedy,N/A,"Fred Armisen, Bill Hader, Seth Meyers","Helen Mirren, Fred Armisen, Bill Hader",English,United States,8.1,,,series,False,False
tt3032476,Better Call Saul,2015–,TV-MA,08 Feb 2015,46 min,"Crime, Drama",N/A,"Vince Gilligan, Peter Gould","Bob Odenkirk, Rhea Seehorn, Jonathan Banks","English, Spanish, Vietnamese",United States,8.8,,,series,False,False
