IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt1836776,The Prince and the Pauper,1962,TV-PG,07 May 1962,93 min,Adventure,Don Chaffey,"Mark Twain, Jack Whittingham","Guy Williams, Laurence Naismith, Donald Houston",English,United Kingdom,6.3,,,movie
tt0100409,The Prince and the Pauper,1990,G,16 Nov 1990,25 min,"Animation, Short, Adventure",George Scribner,"Gerrit Graham, Sam Graham, Chris Hubbell","Wayne Allwine, Bill Farmer, Arthur Burghardt",English,United States,7.1,,,movie
tt0780521,The Princess and the Frog,2009,G,11 Dec 2009,97 min,"Animation, Adventure, Comedy","Ron Clements, John Musker","Ron Clements, John Musker, Greg Erb","Anika Noni Rose, Keith David, Oprah Winfrey","English, French",United States,7.1,85%,73/100,movie
tt0093779,The Princess Bride,1987,PG,09 Oct 1987,98 min,"Adventure, Family, Fantasy",Rob Reiner,William Goldman,"Cary Elwes, Mandy Patinkin, Robin Wright",English,"United Kingdom, United States",8.1,97%,77/100,movie
tt0247638,The Princess Diaries,2001,G,03 Aug 2001,115 min,"Comedy, Family, Romance",Garry Marshall,"Meg Cabot, Gina Wendkos","Julie Andrews, Anne Hathaway, Hector Elizondo","English, Dutch, Italian","United States, United Kingdom",6.4,48%,52/100,movie
tt0368933,The Princess Diaries 2: Royal Engagement,2004,G,11 Aug 2004,113 min,"Comedy, Family, Romance",Garry Marshall,"Meg Cabot, Gina Wendkos, Shonda Rhimes","Anne Hathaway, Callum Blue, Julie Andrews","English, Greek, French, Spanish",United States,5.8,26%,43/100,movie
tt0293737,The Proud Family,2001–2005,TV-Y,15 Sep 2001,30 min,"Animation, Comedy, Family",N/A,"Bruce W. Smith, Doreen Spicer","Kyla Pratt, Tommy Davidson, Jo Marie Payton",English,United States,6.4,,,series
tt0448090,The Proud Family Movie,2005,TV-G,19 Aug 2005,90 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",Bruce W. Smith,"Ralph Farquhar (screenplay), Calvin Brown Jr. (screenplay), John Patrick White (screenplay), Stiles White (screenplay)","Kyla Pratt, Tommy Davidson, Paula Jai Parker, Jo Marie Payton",English,United States,5.4,,,movie
tt0034091,The Reluctant Dragon,1941,Approved,20 Jun 1941,74 min,"Animation, Comedy, Family","Alfred L. Werker, Hamilton Luske, Jack Cutting","Kenneth Grahame, Ted Sears, Al Perkins","Robert Benchley, Frances Gifford, Buddy Pepper",English,United States,6.9,,,movie
tt0816401,The Replacements,2006–2009,TV-Y,28 Jul 2006,22 min,"Animation, Comedy, Family",N/A,Dan Santat,"Nancy Cartwright, Grey Griffin, Jeff Bennett",English,United States,5.9,,,series
tt0076618,The Rescuers,1977,G,22 Jun 1977,78 min,"Animation, Adventure, Comedy","John Lounsbery, Wolfgang Reitherman, Art Stevens","Margery Sharp, Larry Clemmons, Ken Anderson","Bob Newhart, Eva Gabor, Geraldine Page",English,United States,6.9,81%,74/100,movie
tt0100477,The Rescuers Down Under,1990,G,16 Nov 1990,77 min,"Animation, Adventure, Crime","Hendel Butoy, Mike Gabriel","Jim Cox, Karey Kirkpatrick, Byron Simpson","Bob Newhart, Eva Gabor, John Candy",English,United States,6.9,70%,70/100,movie
