imdb_id,platform_id
tt0089731,P02
tt0089908,P02
tt0090803,P02
tt0090840,P02
tt0091059,P02
tt0091149,P02
tt0091566,P02
tt0092345,P02
tt0092638,P02
tt0093779,P02
tt0093832,P02
tt0094137,P02
tt0094739,P02
tt0095776,P02
tt0096273,P02
tt0096438,P02
tt0096446,P02
tt0096557,P02
tt0096697,P02
tt0097053,P02
tt0097523,P02
tt0097757,P02
tt0098536,P02
tt0098740,P02
tt0098924,P02
tt0098966,P02
tt0099472,P02
tt0099816,P02
tt0100409,P02
tt0100477,P02
tt0101076,P02
tt0101414,P02
tt0102803,P02
tt0103247,P02
tt0103428,P02
tt0103477,P02
tt0103584,P02
tt0103639,P02
tt0104437,P02
tt0104940,P02
tt0104990,P02
tt0105417,P02
tt0105958,P02
tt0106223,P02
tt0106611,P02
tt0107120,P02
tt0107131,P02
tt0107413,P02
tt0107688,P02
tt0107952,P02
tt0107985,P02
tt0108147,P02
tt0108333,P02
tt0108783,P02
tt0109287,P02
tt0109369,P02
tt0110006,P02
tt0110157,P02
tt0110357,P02
tt0111070,P02
tt0111359,P02
tt0111419,P02
tt0112175,P02
tt0112197,P02
tt0112302,P02
tt0113104,P02
tt0113198,P02
tt0113538,P02
tt0114048,P02
tt0114148,P02
tt0114709,P02
tt0115215,P02
tt0115218,P02
tt0115269,P02
tt0115433,P02
tt0115491,P02
tt0116311,P02
tt0116552,P02
tt0116583,P02
tt0116669,P02
tt0116683,P02
tt0116756,P02
tt0117110,P02
tt0118466,P02
tt0118692,P02
tt0118998,P02
tt0119137,P02
tt0119190,P02
tt0119282,P02
tt0119303,P02
tt0119310,P02
tt0119432,P02
tt0119918,P02
tt0120131,P02
tt0120317,P02
tt0120363,P02
tt0120623,P02
tt0120645,P02
tt0120751,P02
tt0120762,P02
tt0120764,P02
tt0120783,P02
tt0120910,P02
tt0120915,P02
tt0120917,P02
tt0121765,P02
tt0121766,P02
tt0122815,P02
tt0126170,P02
tt0130623,P02
tt0131409,P02
tt0133240,P02
tt0136658,P02
tt0138068,P02
tt0138967,P02
tt0141369,P02
tt0143808,P02
tt0144262,P02
tt0147800,P02
tt0147926,P02
tt0153992,P02
tt0155110,P02
tt0155753,P02
tt0157996,P02
tt0162212,P02
tt0163986,P02
tt0165052,P02
tt0166829,P02
tt0166896,P02
tt0167038,P02
tt0169247,P02
tt0173886,P02
tt0185007,P02
tt0186726,P02
tt0186910,P02
tt0187635,P02
tt0187819,P02
tt0192618,P02
tt0193187,P02
